^SAMPLE = GSM171895
!Sample_title = HBEC3-KT
!Sample_geo_accession = GSM171895
!Sample_status = Public on Mar 07 2007
!Sample_submission_date = Feb 26 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Human Bronchial Epithelial Cell
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Histology: immortalized normal
!Sample_characteristics_ch1 = Age: 65
!Sample_characteristics_ch1 = Sex: F
!Sample_characteristics_ch1 = Race:
!Sample_biomaterial_provider_ch1 = Hamon Center for Therapeutic Oncology Research, UT Southwestern Medical Center
!Sample_growth_protocol_ch1 = KSFM supplemented with EGF and BPE
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen RNeasy kit including DNase1 treatment
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA was prepared according to standard Affymetrix protocol from 5 microgram total RNA
!Sample_hyb_protocol = Following fragmentation, 20 microg of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A
!Sample_description = Immortalized with CDK4 and hTERT
!Sample_data_processing = Data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 250
!Sample_platform_id = GPL570
!Sample_contact_name = Luc,,Girard
!Sample_contact_email = Luc.Girard@UTSouthwestern.edu
!Sample_contact_laboratory = NB8.114A
!Sample_contact_department = Hamon Center for Therapeutic Oncology Research
!Sample_contact_institute = UT Southwestern Medical Center
!Sample_contact_address = 5323 Harry Hines Blvd
!Sample_contact_city = Dallas
!Sample_contact_state = TX
!Sample_contact_zip/postal_code = 75390-8593
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM171nnn/GSM171895/suppl/GSM171895.CEL.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE4824
!Sample_data_row_count = 54675
#ID_REF = Affymetrix IDs
#Stat Pairs = Number of probe pairs
#Stat Pairs Used = Number of probe pairs (unmasked)
#VALUE = MAS5-calculated Signal intensity
#ABS_CALL = the call in an absolute analysis that indicates if the transcript was present (P), absent (A), marginal (M), or no call (NC)
#DETECTION P-VALUE = p-value that indicates the significance level of the detection call
!sample_table_begin
ID_REF	Stat Pairs	Stat Pairs Used	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-r2-Bs-thr-3_s_at	11	11	7.1	A	0.943848
AFFX-r2-Bs-thr-M_s_at	11	11	23.3	A	0.246094
AFFX-r2-Bs-thr-5_s_at	11	11	35.5	A	0.067627
AFFX-HUMISGF3A/M97935_5_at	20	20	159.5	P	0.002556
AFFX-HUMISGF3A/M97935_MA_at	20	20	314.6	P	0.012547
AFFX-HUMISGF3A/M97935_MB_at	20	20	280.9	P	0.000044
AFFX-HUMISGF3A/M97935_3_at	20	20	894.2	P	0.000258
AFFX-HUMRGE/M10098_5_at	20	20	97.0	P	0.028457
AFFX-HUMRGE/M10098_M_at	20	20	226.4	P	0.000224
AFFX-HUMRGE/M10098_3_at	20	20	193.8	M	0.050229
AFFX-HUMGAPDH/M33197_5_at	20	20	15841.8	P	0.000044
AFFX-HUMGAPDH/M33197_M_at	20	20	14154.8	P	0.000044
AFFX-HUMGAPDH/M33197_3_at	20	20	16464.3	P	0.000044
AFFX-HSAC07/X00351_5_at	20	20	9448.4	P	0.000052
AFFX-HSAC07/X00351_M_at	20	20	13229.9	P	0.000044
AFFX-HSAC07/X00351_3_at	20	20	15430.3	P	0.000044
AFFX-M27830_5_at	20	20	252.0	P	0.001248
AFFX-M27830_M_at	20	20	109.8	A	0.275146
AFFX-M27830_3_at	20	20	84.3	A	0.354453
AFFX-hum_alu_at	69	69	17678.1	P	0.000000
1007_s_at	16	16	3415.7	P	0.000219
1053_at	16	16	203.8	P	0.001602
117_at	16	16	120.1	P	0.014937
121_at	16	16	800.8	P	0.001354
1255_g_at	16	16	26.8	A	0.679170
1294_at	16	16	76.3	A	0.479380
1316_at	16	16	71.7	A	0.073830
1320_at	16	16	12.7	A	0.901946
1405_i_at	14	14	1.2	A	0.967980
1431_at	16	16	55.4	A	0.117160
1438_at	16	16	140.3	A	0.150527
1487_at	16	16	633.2	P	0.013092
1494_f_at	16	16	111.3	A	0.102564
1598_g_at	16	16	1344.2	P	0.003067
160020_at	16	16	1344.7	P	0.000562
1729_at	16	16	399.2	P	0.003067
1773_at	16	16	48.0	A	0.581931
177_at	16	16	164.8	P	0.000959
179_at	16	16	351.8	A	0.138765
1861_at	16	16	169.5	P	0.008689
200000_s_at	11	11	1591.0	P	0.000244
200001_at	11	11	6035.4	P	0.002930
200002_at	11	11	11173.7	P	0.000244
200003_s_at	11	11	16372.1	P	0.000244
200004_at	11	11	10141.1	P	0.000244
200005_at	11	11	4150.2	P	0.000244
200006_at	11	11	8271.6	P	0.000244
200007_at	11	11	7231.8	P	0.000244
200008_s_at	11	11	2646.7	P	0.000244
200009_at	11	11	5545.0	P	0.000244
200010_at	11	11	14684.4	P	0.000244
200011_s_at	11	11	1588.1	P	0.000244
200012_x_at	11	11	11835.3	P	0.000244
200013_at	11	11	15009.3	P	0.000244
200014_s_at	11	11	4635.5	P	0.000244
200015_s_at	11	11	5980.8	P	0.000732
200016_x_at	11	11	13684.8	P	0.000244
200017_at	11	11	14086.9	P	0.000244
200018_at	11	11	14819.5	P	0.000244
200019_s_at	11	11	10282.0	P	0.000244
200020_at	11	11	1536.7	P	0.000732
200021_at	11	11	8459.0	P	0.001953
200022_at	11	11	11366.2	P	0.000244
200023_s_at	11	11	9389.2	P	0.000244
200024_at	11	11	11251.8	P	0.000732
200025_s_at	11	11	14061.8	P	0.000244
200026_at	11	11	12875.2	P	0.000244
200027_at	11	11	4208.5	P	0.000244
200028_s_at	11	11	1898.4	P	0.004150
200029_at	11	11	13520.4	P	0.000244
200030_s_at	11	11	9601.1	P	0.000244
200031_s_at	11	11	17554.4	P	0.000244
200032_s_at	11	11	15489.1	P	0.000244
200033_at	11	11	8922.2	P	0.000244
200034_s_at	11	11	13071.8	P	0.000244
200035_at	11	11	759.0	P	0.010742
200036_s_at	11	11	11782.8	P	0.000244
200037_s_at	11	11	4101.9	P	0.000244
200038_s_at	11	11	15498.5	P	0.000244
200039_s_at	11	11	2459.5	P	0.000244
200040_at	11	11	5032.2	P	0.000244
200041_s_at	11	11	2538.5	P	0.000244
200042_at	11	11	1399.6	P	0.000732
200043_at	11	11	3122.0	P	0.000732
200044_at	11	11	2986.9	P	0.000244
200045_at	11	11	746.2	P	0.000244
200046_at	11	11	3273.0	P	0.000244
200047_s_at	11	11	4495.5	P	0.000244
200048_s_at	11	11	2219.6	P	0.000244
200049_at	11	11	411.0	P	0.000244
200050_at	11	11	2632.3	P	0.000244
200051_at	11	11	416.3	P	0.005859
200052_s_at	11	11	1409.0	P	0.000244
200053_at	11	11	1009.0	P	0.000244
200054_at	11	11	554.0	P	0.000732
200055_at	11	11	2449.9	P	0.001953
200056_s_at	11	11	1188.0	P	0.000244
200057_s_at	11	11	5386.0	P	0.000244
200058_s_at	11	11	2093.3	P	0.000244
200059_s_at	11	11	9899.1	P	0.000244
200060_s_at	11	11	1946.9	P	0.001221
200061_s_at	11	11	12569.8	P	0.000244
200062_s_at	11	11	15072.9	P	0.000244
200063_s_at	11	11	13782.9	P	0.000244
200064_at	11	11	8771.1	P	0.000244
200065_s_at	11	11	3844.9	P	0.000244
200066_at	11	11	1547.7	P	0.000244
200067_x_at	11	11	2904.6	P	0.000244
200068_s_at	11	11	5297.9	P	0.000244
200069_at	11	11	227.8	P	0.000732
200070_at	11	11	799.1	P	0.005859
200071_at	11	11	1299.6	P	0.001221
200072_s_at	11	11	1592.2	P	0.000244
200073_s_at	11	11	3254.8	P	0.000244
200074_s_at	11	11	11036.3	P	0.000244
200075_s_at	11	11	2249.6	P	0.000244
200076_s_at	11	11	518.6	P	0.000732
200077_s_at	11	11	9420.9	P	0.000244
200078_s_at	11	11	1297.7	P	0.000244
200079_s_at	11	11	3508.6	P	0.000244
200080_s_at	11	11	11155.2	P	0.000244
200081_s_at	11	11	13771.5	P	0.000244
200082_s_at	11	11	11913.2	P	0.000244
200083_at	11	11	2082.2	P	0.000732
200084_at	11	11	2778.8	P	0.000244
200085_s_at	11	11	5473.3	P	0.000244
200086_s_at	11	11	5928.7	P	0.000244
200087_s_at	11	11	5432.0	P	0.000244
200088_x_at	11	11	16145.9	P	0.000244
200089_s_at	11	11	16341.6	P	0.000244
200090_at	11	11	3351.3	P	0.000244
200091_s_at	11	11	13271.4	P	0.000244
200092_s_at	11	11	16305.3	P	0.000244
200093_s_at	11	11	9388.9	P	0.000244
200094_s_at	11	11	10541.9	P	0.000244
200095_x_at	11	11	17571.1	P	0.000244
200096_s_at	11	11	3801.8	P	0.000244
200097_s_at	11	11	5099.4	P	0.000244
200098_s_at	11	11	1752.6	P	0.001953
200099_s_at	11	11	16766.0	P	0.000244
200593_s_at	11	11	1269.7	P	0.001953
200594_x_at	11	11	2600.7	P	0.000244
200595_s_at	11	11	5233.6	P	0.000244
200596_s_at	11	11	1585.9	P	0.000244
200597_at	11	11	565.1	P	0.000244
200598_s_at	11	11	4607.3	P	0.000244
200599_s_at	11	11	8645.2	P	0.000244
200600_at	11	11	4896.5	P	0.000244
200601_at	11	11	2042.8	P	0.000244
200602_at	11	11	8475.7	P	0.000244
200603_at	11	11	5933.6	P	0.000244
200604_s_at	11	11	908.1	P	0.000244
200605_s_at	11	11	3367.1	P	0.000244
200606_at	11	11	14242.5	P	0.000244
200607_s_at	11	11	878.1	P	0.000732
200608_s_at	11	11	3301.8	P	0.000244
200609_s_at	11	11	3820.7	P	0.000244
200610_s_at	11	11	6327.9	P	0.000244
200611_s_at	11	11	3755.7	P	0.000244
200612_s_at	11	11	1796.1	P	0.000732
200613_at	11	11	1999.3	P	0.000732
200614_at	11	11	4712.9	P	0.000244
200615_s_at	11	11	1222.0	P	0.001221
200616_s_at	11	11	183.1	A	0.171387
200617_at	11	11	793.4	P	0.001221
200618_at	11	11	4021.2	P	0.000244
200619_at	11	11	848.5	P	0.010742
200620_at	11	11	3619.3	P	0.000244
200621_at	11	11	805.9	P	0.000244
200622_x_at	11	11	1026.7	P	0.002930
200623_s_at	11	11	236.1	A	0.129639
200624_s_at	11	11	3664.2	P	0.000244
200625_s_at	11	11	5487.0	P	0.000244
200626_s_at	11	11	4616.0	P	0.000244
200627_at	11	11	5364.2	P	0.000244
200628_s_at	11	11	602.9	A	0.080566
200629_at	11	11	987.8	P	0.000244
200630_x_at	11	11	3646.2	P	0.000244
200631_s_at	11	11	5453.8	P	0.000244
200632_s_at	11	11	12574.0	P	0.000244
200633_at	11	11	8094.7	P	0.000244
200634_at	11	11	9955.4	P	0.000244
200635_s_at	11	11	1130.1	P	0.000732
200636_s_at	11	11	3644.9	P	0.000244
200637_s_at	11	11	1120.1	P	0.000244
200638_s_at	11	11	7576.0	P	0.000244
200639_s_at	11	11	8878.0	P	0.000244
200640_at	11	11	8785.9	P	0.000244
200641_s_at	11	11	4606.4	P	0.000244
200642_at	11	11	4359.4	P	0.000244
200643_at	11	11	1888.4	P	0.000732
200644_at	11	11	715.5	P	0.000732
200645_at	11	11	4085.5	P	0.000732
200646_s_at	11	11	152.9	P	0.023926
200647_x_at	11	11	6599.7	P	0.000244
200648_s_at	11	11	5401.4	P	0.000244
200649_at	11	11	567.7	P	0.000732
200650_s_at	11	11	13900.8	P	0.000244
200651_at	11	11	14390.8	P	0.000244
200652_at	11	11	2927.5	P	0.000244
200653_s_at	11	11	5154.0	P	0.000244
200654_at	11	11	8352.3	P	0.008057
200655_s_at	11	11	4979.3	P	0.000244
200656_s_at	11	11	5943.7	P	0.000244
200657_at	11	11	11554.8	P	0.000244
200658_s_at	11	11	1073.1	P	0.000244
200659_s_at	11	11	325.8	P	0.004150
200660_at	11	11	10020.6	P	0.000244
200661_at	11	11	883.6	P	0.000244
200662_s_at	11	11	6383.0	P	0.000244
200663_at	11	11	10255.6	P	0.000244
200664_s_at	11	11	1677.7	P	0.000244
200665_s_at	11	11	2897.0	P	0.000244
200666_s_at	11	11	2795.5	P	0.000244
200667_at	11	11	3691.1	P	0.000244
200668_s_at	11	11	6573.3	P	0.000244
200669_s_at	11	11	4354.3	P	0.000244
200670_at	11	11	1891.0	P	0.000244
200671_s_at	11	11	302.6	P	0.023926
200672_x_at	11	11	468.0	P	0.001953
200673_at	11	11	7575.3	P	0.000244
200674_s_at	11	11	12378.6	P	0.000244
200675_at	11	11	4588.8	P	0.000244
200676_s_at	11	11	380.9	P	0.010742
200677_at	11	11	2984.2	P	0.000244
200678_x_at	11	11	3292.3	P	0.000244
200679_x_at	11	11	1880.4	P	0.000244
200680_x_at	11	11	4375.7	P	0.000244
200681_at	11	11	3181.5	P	0.000244
200682_s_at	11	11	3382.6	P	0.000244
200683_s_at	11	11	758.9	P	0.004150
200684_s_at	11	11	266.3	P	0.004150
200685_at	11	11	840.0	P	0.000244
200686_s_at	11	11	3812.5	P	0.000244
200687_s_at	11	11	780.3	P	0.001953
200688_at	11	11	165.1	A	0.067627
200689_x_at	11	11	12430.8	P	0.000244
200690_at	11	11	599.5	P	0.001953
200691_s_at	11	11	4017.7	P	0.000244
200692_s_at	11	11	2787.5	P	0.000244
200693_at	11	11	10231.9	P	0.000244
200694_s_at	11	11	1281.8	P	0.000244
200695_at	11	11	657.3	P	0.014160
200696_s_at	11	11	3534.6	P	0.000732
200697_at	11	11	5323.4	P	0.000244
200698_at	11	11	2244.7	P	0.000244
200699_at	11	11	1338.4	P	0.002930
200700_s_at	11	11	2324.8	P	0.000244
200701_at	11	11	5507.9	P	0.000244
200702_s_at	11	11	97.5	A	0.095215
200703_at	11	11	5956.5	P	0.000244
200704_at	11	11	4152.8	P	0.000244
200705_s_at	11	11	12815.8	P	0.000244
200706_s_at	11	11	3003.3	P	0.000244
200707_at	11	11	684.8	P	0.000732
200708_at	11	11	1946.3	P	0.000244
200709_at	11	11	3638.9	P	0.000244
200710_at	11	11	1241.3	P	0.000244
200711_s_at	11	11	1441.9	P	0.000244
200712_s_at	11	11	1199.3	P	0.000244
200713_s_at	11	11	2467.8	P	0.000732
200714_x_at	11	11	2076.4	P	0.000732
200715_x_at	11	11	13543.4	P	0.000244
200716_x_at	11	11	16596.6	P	0.000244
200717_x_at	11	11	17878.3	P	0.000244
200718_s_at	11	11	9527.6	P	0.000244
200719_at	11	11	289.5	P	0.046143
200720_s_at	11	11	532.3	P	0.000244
200721_s_at	11	11	585.8	P	0.001221
200722_s_at	11	11	1783.6	P	0.000244
200723_s_at	11	11	3390.3	P	0.000244
200724_at	11	11	12.4	A	0.466064
200725_x_at	11	11	11655.7	P	0.000244
200726_at	11	11	6358.5	P	0.000244
200727_s_at	11	11	335.5	P	0.018555
200728_at	11	11	3442.5	P	0.000244
200729_s_at	11	11	3255.3	P	0.000244
200730_s_at	11	11	1825.2	P	0.000244
200731_s_at	11	11	1147.2	P	0.001221
200732_s_at	11	11	2421.7	P	0.000244
200733_s_at	11	11	6333.9	P	0.000732
200734_s_at	11	11	666.2	P	0.000244
200735_x_at	11	11	14792.5	P	0.000244
200736_s_at	11	11	6039.4	P	0.000244
200737_at	11	11	4469.4	P	0.000732
200738_s_at	11	11	10551.1	P	0.000244
200739_s_at	11	11	563.1	P	0.000244
200740_s_at	11	11	2938.5	P	0.000244
200741_s_at	11	11	15084.4	P	0.000244
200742_s_at	11	11	585.9	P	0.000244
200743_s_at	11	11	1423.9	P	0.018555
200744_s_at	11	11	1685.3	P	0.000244
200745_s_at	11	11	1685.5	P	0.000244
200746_s_at	11	11	3128.0	P	0.000732
200747_s_at	11	11	567.2	P	0.008057
200748_s_at	11	11	13005.7	P	0.000244
200749_at	11	11	2428.3	P	0.000244
200750_s_at	11	11	5212.7	P	0.000244
200751_s_at	11	11	4039.7	P	0.000244
200752_s_at	11	11	846.0	P	0.018555
200753_x_at	11	11	1279.9	P	0.000244
200754_x_at	11	11	2432.6	P	0.000244
200755_s_at	11	11	721.8	P	0.000244
200756_x_at	11	11	540.9	P	0.002930
200757_s_at	11	11	2300.0	P	0.000244
200758_s_at	11	11	2253.4	P	0.000244
200759_x_at	11	11	2396.7	P	0.000244
200760_s_at	11	11	2122.5	P	0.000244
200761_s_at	11	11	3807.3	P	0.000244
200762_at	11	11	2210.1	P	0.000244
200763_s_at	11	11	16750.0	P	0.000244
200764_s_at	11	11	2830.2	P	0.000244
200765_x_at	11	11	3810.3	P	0.000244
200766_at	11	11	663.8	P	0.001221
200767_s_at	11	11	606.7	P	0.000244
200768_s_at	11	11	2139.8	P	0.000244
200769_s_at	11	11	460.7	P	0.002930
200770_s_at	11	11	1062.4	P	0.000244
200771_at	11	11	2342.1	P	0.000244
200772_x_at	11	11	4941.0	P	0.000244
200773_x_at	11	11	7596.5	P	0.000244
200774_at	11	11	4510.8	P	0.000244
200775_s_at	11	11	4657.2	P	0.000244
200776_s_at	11	11	4478.1	P	0.000244
200777_s_at	11	11	4880.9	P	0.000244
200778_s_at	11	11	2770.5	P	0.000244
200779_at	11	11	8019.7	P	0.000244
200780_x_at	11	11	11773.8	P	0.000244
200781_s_at	11	11	13068.1	P	0.000244
200782_at	11	11	5486.8	P	0.000244
200783_s_at	11	11	220.1	P	0.000244
200784_s_at	11	11	170.0	P	0.030273
200785_s_at	11	11	451.5	P	0.000244
200786_at	11	11	4261.6	P	0.000244
200787_s_at	11	11	374.8	P	0.000244
200788_s_at	11	11	1488.7	P	0.000244
200789_at	11	11	779.9	P	0.002930
200790_at	11	11	3121.9	P	0.000244
200791_s_at	11	11	3233.6	P	0.000244
200792_at	11	11	4445.4	P	0.001221
200793_s_at	11	11	1130.9	P	0.005859
200794_x_at	11	11	4081.5	P	0.000244
200795_at	11	11	45.7	A	0.171387
200796_s_at	11	11	119.8	P	0.005859
200797_s_at	11	11	8034.6	P	0.000244
200798_x_at	11	11	3431.9	P	0.000244
200799_at	11	11	1469.5	P	0.000244
200800_s_at	11	11	579.4	P	0.001221
200801_x_at	11	11	15759.7	P	0.000244
200802_at	11	11	3494.9	P	0.000244
200803_s_at	11	11	4313.2	P	0.000244
200804_at	11	11	5900.9	P	0.000244
200805_at	11	11	1046.6	P	0.000244
200806_s_at	11	11	5741.9	P	0.000244
200807_s_at	11	11	10346.1	P	0.000244
200808_s_at	11	11	946.8	P	0.000244
200809_x_at	11	11	14585.6	P	0.000244
200810_s_at	11	11	3192.3	P	0.000244
200811_at	11	11	1668.7	P	0.001221
200812_at	11	11	1909.7	P	0.000244
200813_s_at	11	11	478.6	P	0.008057
200814_at	11	11	2393.3	P	0.000732
200815_s_at	11	11	1329.7	P	0.000244
200816_s_at	11	11	838.6	P	0.000244
200817_x_at	11	11	17605.1	P	0.000244
200818_at	11	11	7520.2	P	0.000244
200819_s_at	11	11	11926.4	P	0.000244
200820_at	11	11	1699.0	P	0.002930
200821_at	11	11	3108.6	P	0.000244
200822_x_at	11	11	8021.8	P	0.000244
200823_x_at	11	11	7685.9	P	0.000244
200824_at	11	11	7299.6	P	0.001221
200825_s_at	11	11	808.0	P	0.005859
200826_at	11	11	5521.2	P	0.000244
200827_at	11	11	711.1	P	0.001221
200828_s_at	11	11	2590.1	P	0.000732
200829_x_at	11	11	2415.8	P	0.000244
200830_at	11	11	2986.2	P	0.000244
200831_s_at	11	11	4884.9	P	0.000244
200832_s_at	11	11	10952.6	P	0.000244
200833_s_at	11	11	3086.0	P	0.000244
200834_s_at	11	11	15689.3	P	0.000244
200835_s_at	11	11	10.0	A	0.969727
200836_s_at	11	11	862.5	A	0.080566
200837_at	11	11	2473.7	P	0.000244
200838_at	11	11	4499.3	P	0.000244
200839_s_at	11	11	7165.0	P	0.000244
200840_at	11	11	6617.0	P	0.000244
200841_s_at	11	11	351.0	P	0.010742
200842_s_at	11	11	1563.5	P	0.000244
200843_s_at	11	11	1717.9	P	0.000244
200844_s_at	11	11	3709.9	P	0.000244
200845_s_at	11	11	3843.1	P	0.000732
200846_s_at	11	11	1607.8	P	0.000244
200847_s_at	11	11	4723.7	P	0.000244
200848_at	11	11	1156.2	P	0.001221
200849_s_at	11	11	831.9	P	0.000244
200850_s_at	11	11	1973.3	P	0.000244
200851_s_at	11	11	1454.7	P	0.000244
200852_x_at	11	11	992.0	P	0.005859
200853_at	11	11	4863.2	P	0.000244
200854_at	11	11	495.5	P	0.000244
200855_at	11	11	161.3	P	0.046143
200856_x_at	11	11	327.4	P	0.000244
200857_s_at	11	11	430.9	P	0.008057
200858_s_at	11	11	15485.5	P	0.000244
200859_x_at	11	11	2121.5	P	0.000244
200860_s_at	11	11	2015.0	P	0.000244
200861_at	11	11	473.3	P	0.001953
200862_at	11	11	2675.6	P	0.000244
200863_s_at	11	11	4241.7	P	0.000732
200864_s_at	11	11	1972.3	P	0.000244
200865_at	11	11	3.0	A	0.870361
200866_s_at	11	11	4131.0	P	0.000244
200867_at	11	11	728.8	P	0.001221
200868_s_at	11	11	1251.1	P	0.004150
200869_at	11	11	15319.8	P	0.000244
200870_at	11	11	4306.8	P	0.000244
200871_s_at	11	11	8786.5	P	0.000244
200872_at	11	11	15331.1	P	0.000244
200873_s_at	11	11	6364.6	P	0.000244
200874_s_at	11	11	341.5	P	0.000244
200875_s_at	11	11	1687.9	P	0.000244
200876_s_at	11	11	5631.6	P	0.000244
200877_at	11	11	6183.6	P	0.000244
200878_at	11	11	2710.6	P	0.000244
200879_s_at	11	11	123.2	P	0.008057
200880_at	11	11	850.5	P	0.001953
200881_s_at	11	11	1436.0	P	0.000244
200882_s_at	11	11	1587.0	P	0.000244
200883_at	11	11	3723.7	P	0.000732
200884_at	11	11	800.1	P	0.001221
200885_at	11	11	2823.0	P	0.000732
200886_s_at	11	11	9529.6	P	0.000244
200887_s_at	11	11	897.2	P	0.000244
200888_s_at	11	11	17278.0	P	0.000244
200889_s_at	11	11	1577.9	P	0.000244
200890_s_at	11	11	472.7	P	0.000732
200891_s_at	11	11	3182.3	P	0.000244
200892_s_at	11	11	2245.0	P	0.000244
200893_at	11	11	2891.7	P	0.000244
200894_s_at	11	11	366.6	P	0.018555
